Player Name,Kills,Great Attacks,Good Attacks,Poor Attacks,Attack Errors,Total Attacks,Hitting Average,Kill %,Hitting %,Perfect Blocks,Great Blocks,Good Blocks,Poor Blocks,Block Errors,Total Blocks,Block Average,Perfect Assists,Great Assists,Good Assists,Poor Assists,Assist Errors,Total Assists,Assist Average,Perfect Free Balls,Great Free Balls,Good Free Balls,Poor Free Balls,Free Ball Errors,Total Free Balls,Free Ball Average,Perfect Digs,Great Digs,Good Digs,Poor Digs,Dig Errors,Total Digs,Dig Average,Perfect Serve Receive Passes,Great Serve Receive Passes,Good Serve Receive Passes,Poor Serve Receive Passes,Serve Receive Pass Errors,Total Serve Receive Passes,Serve Receive Pass Average,In System %,Out of System %,Aces,Great Serves,Good Serves,Poor Serves,Serve Errors,Total Serves,Serve Average,Opponent Out of System %
Jeff Cao,2,3,4,0,3,12,2.2083333333333335,0.16666666666666666,-0.08333333333333333,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,1,1,0,1,0,3,2.6666666666666665,0.6666666666666666,0.0,1,0,0,0,0,1,4.0,1.0
Khoi Ngo,1,0,0,0,0,1,4.0,1.0,1.0,1,0,0,0,1,2,2.25,0,0,0,1,0,1,1.0,0,2,0,0,0,2,3.0,0,1,0,0,0,1,3.0,0,1,0,1,0,2,2.0,0.5,0.0,0,0,0,0,0,0,0.0,0.0
Tony Zhou,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,3.0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0.5,0.0,1.0,0,0,0,0,0,0,0.0,0.0
Nate Dang,1,1,2,1,1,6,2.0833333333333335,0.16666666666666666,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Samson Ly,0,0,0,2,0,2,1.0,0.0,0.0,0,1,0,0,0,1,3.0,3,11,1,1,0,16,3.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Johnny Wong,0,1,1,0,2,4,1.5,0.0,-0.5,0,0,1,0,1,2,1.25,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Jay Cool,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,1,0,0,1,2.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,3,1,4,0.875,0.0,0.25,1,2,0,3,0,6,2.1666666666666665,0.5
Brandon Lee,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,3.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0
Gordon Cheung,0,1,0,0,0,1,3.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,1,0,0,1,2.0,2,0,0,0,0,2,4.0,0,5,0,0,1,6,2.5833333333333335,0,0,0,0,0,0,0.0,0.0,0.0,0,2,0,2,0,4,2.0,0.5
Corry Phu,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Mike Sun,3,0,0,0,0,3,4.0,1.0,1.0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,3.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
Jorald Joaquin,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,1,0,0,1,2,1.75,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,1,1,3,1.5,0.3333333333333333
Wei Zhang,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
